id;business_name;business_description;business_type
1;Licensed;Credit Card Account Sleek;RENTAL_PROPERTY
2;primary quantify Chips;Guyana;PARTNERSHIP
3;monitor Small Wooden Ball;feed;RENTAL_PROPERTY
4;Inlet Hungary Configurable;interface;SOLE_TRADE
5;overriding;internet solution;SOLE_TRADE
6;Investment Account Indian Rupee;withdrawal Club Nebraska;RENTAL_PROPERTY
7;empower;customized payment;PARTNERSHIP
8;Personal Loan Account;Music;RENTAL_PROPERTY
9;Avon;blue scalable Car;SOLE_TRADE
10;Fresh incubate Agent;Jewelery Engineer Bedfordshire;PARTNERSHIP
